chinese_name,english_name
国民经济大学,National Economics University
工业美术大学,University of Arts and Design
国家公共管理学院,National Academy of Public Administration
河内开放大学,Hanoi Open University
河内法律大学,Hanoi Law University
河内文化大学,Hanoi University of Culture
胡志明市建筑大学,University of Architecture Ho Chi Minh City
河内科技大学,University of Science and Technology of Hanoi
海防大学,Hai Phong University
河内师范大学,Hanoi National University of Education
河内大学,Hanoi University
河内国家大学,"Vietnam National University, Hanoi"
胡志明市开放大学,Ho Chi Minh City Open University
河内理工大学,Hanoi University of Science and Technology
河内工业大学,Hanoi University of Industry
胡志明市师范大学,Ho Chi Minh City University of Education
胡志明市经济大学,University of Economics Ho Chi Minh City
莲花大学,Hoa Sen University
顺化大学附属外国语学院,Hue University - College of Foreign Languages
数学研究所,Institute of Mathematics
升龙大学,Thang Long University
社会科学研究院,Graduate Academy of Social Sciences
孙德胜大学,Ton Duc Thang University
太原大学附属科学大学,Thai Nguyen University - University of Sciences
太原大学附属师范大学,Thai Nguyen University - University Of Education
太原大学附属经济与经营管理大学,Thai Nguyen University-University of Economics and Business Administration
太原大学,Thai Nguyen University
VIN大学,VinUniversity
维新大学,Duy Tan University
外贸大学,Foreign Trade University
新闻与传播学院,Academy of Journalism and Communication
岘港大学附属外国语大学,"University of Foreign Language Studies, the University of Danang"
越南英国大学,British University Vietnam
越南河内国家大学附属语言与国际研究大学,VNU University of Languages and International Studies
越南富布赖特大学,Fulbright University Vietnam
越南河内国家大学附属社会与人文科学大学,VNU University of Social Sciences and Humanities
越南岘港大学附属经济大学,The University of Danang- University of Economics
越南国家农业大学,Vietnam National University of Agriculture
越南商业大学,Vietnam University of Commerce
越南河内国家大学附属社会与人文科学学院,VNU College of Social Sciences and Humanities
越南胡志明市国家大学附属科学大学,Vietnam National University Ho Chi Minh City-University of Science
越南胡志明市国家大学附属技术大学,Vietnam National University Ho Chi Minh City-University of Technology
越南胡志明市国家大学附属人文社会科学大学,Vietnam National University Ho Chi Minh City-University of Social Sciences and Humanities
越南河内国家大学附属医药大学,VNU University of Medicine and Pharmacy
芽庄大学,Nha Trang University
越南河内国家大学附属经济与商业大学,VNU University of Economics and Business
越南外交学院,Diplomatic Academy of Vietnam
